"Timestamp","How much have you learned?","The pace of the lectures so far has been appropriate for my learning.","The pace of coding sessions so far has been appropriate for my learning.","The contents covered are:","I have met the ""learning objectives"" presented during lectures and worked on during the live coding sessions.","I feel more confident working in RStudio now compared to the start of the semester.","I understand the importance of reproducibility and good data practices in science.","I would like to have more frequent assignments.","Overall, I am glad I am taking this course and I would recommend it to other students.","Please provide any other feedback not captured by the questions above. It would be helpful if you told me how I might change things, rather than just pointing out what needs to change."
"2025/09/25 9:03:40 AM AST","3","2","2","4","4","Agree","Agree","Disagree","Agree",""
"2025/09/25 10:31:49 AM AST","3","3","3","3","3","Agree","Agree","Disagree","Agree",""
"2025/09/25 10:56:57 AM AST","4","3","2","3","3","Agree","Agree","Agree","Agree","It would be helpful if some demo coding was incorporated into the lectures. A lot of times I understand what the slides are saying, but I need to refer to them on coding session days. A quick demonstration combining what we've learned so far on the screen during lecture would be helpful in applying the material, rather than reading the already scripted code. Or, showing what the code is doing in each step through live coding."
"2025/09/29 10:35:57 AM AST","3","3","3","3","5","Agree","Agree","Agree","Agree","I don't like the scale for the first question, because despite not a 100% of the content being new to me, I have learned a lot of new things and better practices during each class. I think each class still deserves a 5, because in each, we are all learning new things and getting information regarding good practices, data analyses, and reproducibility. I think that the classes are at a very good pace, and that the professor ensures everyone can learn by answering a broad variety of questions and giving us a step-by-step process, with more advanced stuff included. I do believe that maybe some folks could benefit from getting some code before class that helps them follow better what is going on. I don't think we need more assignments, but more information regarding the code we will be running before the class. "
"2025/09/29 3:22:32 PM AST","5","3","4","3","2","Agree","Agree","Disagree","Agree","I really like the speed of the class right now, any faster and I would get lost, maybe the coding could be slightly slowed down/slightly explained more, but I am very content with the class! I have recommended it to multiple friends already. My only thing I would change is, you are incredible at explaining things in class/in person and I love how you explain the why, but some of that gets lost in writing when describing assignments/written assignments or written content. Sometimes the written content does not go into enough detail for me and I feel slightly lost on what is being asked of me to do/would appreciate slightly more information written out. Though the live coding has been helpful. I think I just felt confused on what was being asked of me with the first assignment/slight disconnect between what was described in class and what the assignment was asking. Maybe more fleshed out written instructions on assignments. That being said, please please continue explaining the WHY we are doing something and not just how/what we are doing. The WHY and actually going through step by step what we coded has been incredibly helpful for how my brain works/learns. Overall really excellent class so far :)"
"2025/09/29 10:00:12 PM AST","3","3","3","2","4","Agree","Agree","Disagree","Agree",""
"2025/09/30 9:02:42 AM AST","5","3","3","3","5","Agree","Agree","Disagree","Agree","I just want to emphasize that I think the current pace and content are perfect for my learning. I have already substantially improved my figure creation and data organization/management skills this semester as a direct result of this class. Thank you!"
"2025/09/30 9:02:56 AM AST","4","4","3","3","3","Agree","Agree","Agree","Agree",""
"2025/09/30 9:03:18 AM AST","5","4","4","3","2","Agree","Agree","Disagree","Agree","I have a hard time reproducing what you're doing without looking at my past exercises or following along with you. I think it is hard for me to just know exactly what to do or memorize what you're saying to do when we do live coding sessions. "
"2025/09/30 9:03:35 AM AST","5","3","2","3","3","Agree","Agree","Disagree","Agree","More live coding through the lectures to break up the material. It can be easy to forget what i learned in lectures on Tuesday and then to apply it on Thursday. It would be better to learn and practice applying at the same day and it will make it more interactive for me"
